できます :мога
うんてんします [運転します] :карам; управлявам
あらいます [洗います] :мия
うたいます [歌います] :пея
かえます [換えます] :обменям; сменям; заменям
すてます [捨てます] :изхвърлям
あつめます [集めます] :събирам
よやくします [予約します] :резервирам
メートル :метър
しゅみ [趣味] :хоби
ほんとう [本当] :наистина; истина; действителност
ドル :долар
ひきます [弾きます] :свиря
けんがくします [見学します] :учене чрез наблюдение
ピアノ :пиано
こくさい [国際] :международен
げんきん [現金] :кеш
にっき [日記] :дневник
いのり [祈り] :молитва
かちょう [課長] :шеф на под-отдел
ぶちょう [部長] :шеф на отдел
しゃちょう [社長] :шеф на фирма
どうぶつ [動物] :животно
うま [馬] :кон
へえ :Е? (изненада)
なかなか :никак; по никой начин; не изглежда да
ぜひ [是非] :непременно
