かんたんな　（簡単な）:лесен
近い　（ちかい）:близък
とおい　（遠い）:далечен
速い　（はやい）:бърз
早い　（てやい）:ранен
おそい　（遅い）:късен; закъснял
多い　（おおい）:много
少ない　（すくない）:малко
あたたかい（暖かい）:топъл (за време)
あたたかい　（温かい）:топъл (на докосване)
すずしい　（涼しい）:хладен (за време)
あまい　（甘い）:сладък
からい　（辛い）:лют
おもい　（重い）:тежък
かるい　（軽い）:лек
いい・よい　（良い）:добър; добре
きせつ　（季節）:сезон
春　（はる）:пролет
夏　（なつ）:лято
秋　（あき）:есен
冬　（ふゆ）:зима
天気　（てんき）:време (климатично)
ゆき　（雪）:Сняг
くもり　（曇り）:облачно
ホテル:Хотел
くうこう　（空港）:летище
しけん　（試験）:изпит
どちら:кое (от две възможни)
どちらも:което и да е (от две възможни)
はじめて　（初めて）:за първи път
でも :но; обаче (по-разговорно от しかし)
うみ　（海）:море
せかい　（世界）:свят
パーティー:парти
まつり　（祭り）:празник (традиционен)
すきやき　（すき焼き）:сукияки
さしみ　（刺身）:сашими
すし　（寿司）:суши
てんぷら　（天ぷら）:темпура
いけばな　（生け花）:икебана
もみじ　（紅葉）:вид есенни шарени листа
ずっと(多いです):много повече
ただいま:Върнах се! (казва се; когато някой се прибира вкъщи)
おかえりなさい　（お帰りなさい）:А; добре си се прибрал! (в отговор нагорното)
ホンコン[香港]:Хонг Конг
